Timestamp,Elbow
4.766662,32.1914
4.783379,28.8616
4.800096,25.6098
4.816813,22.4396
4.83353,19.5969
4.849947,17.0766
4.866664,14.8474
4.883381,13.0222
4.900098,11.556
4.916815,10.4649
4.933532,9.6054
4.950249,8.8648
4.966966,8.1729
4.983683,7.4865
5.0004,6.9792
5.017117,6.7573
5.033534,6.7174
5.050251,6.6596
5.066968,6.6239
5.083685,6.6795
5.100402,6.7597
5.117119,6.8213
5.133836,6.8246
5.150253,6.7683
5.16697,6.7564
5.183387,6.8205
5.200104,6.9427
5.216821,7.2032
5.233538,7.6571
5.250255,8.0698
5.266972,8.4236
5.283689,8.7289
5.300106,9.1229
5.316823,9.7182
5.349957,11.4286
5.366674,12.3985
5.383391,13.3372
5.400108,14.5389
5.416825,16.2557
5.433542,18.2614
5.466676,22.0046
5.483093,23.7172
5.49981,25.7021
5.516527,28.0557
5.533244,30.7896
5.549961,33.3196
5.566678,35.4979
5.583395,37.5567
5.616529,43.3756
5.633246,46.8394
5.649963,50.1947
5.66668,53.6769
5.683397,56.3442
5.700114,59.3399
5.716831,63.6514
5.733548,68.6162
5.766682,77.2828
5.783099,79.9828
5.799816,82.859
5.816533,86.3153
5.83325,90.4142
5.849967,94.4886
5.866684,98.7595
5.883401,102.9871
5.899818,107.1514
5.916535,110.9677
5.932952,114.4821
5.949669,118.0497
5.966386,121.4498
5.983103,124.6733
5.99982,127.9167
6.016537,131.6803
6.033254,135.4307
6.049671,138.7053
6.066388,141.4278
6.082805,143.5457
6.099522,145.3131
6.116239,146.8869
6.132956,148.2026
6.149673,149.2174
6.16639,149.8875
6.183107,150.2195
6.199824,150.1629
6.216541,149.7244
6.233258,149.1566
6.249975,148.5589
6.266692,148.0999
6.283409,147.7899
6.300126,147.068
6.316843,145.983
6.33356,144.6592
6.350277,143.258
6.366994,141.68
6.383711,139.4787
6.400428,137.0251
6.417145,135.1315
6.433862,133.2808
6.450579,131.0589
6.467296,128.1999
6.484013,125.1509
6.50043,122.1716
6.517147,119.0076
6.533564,115.7411
6.550281,112.869
6.566998,109.9337
6.583715,106.9009
6.600432,104.0665
6.617149,101.2052
6.633866,97.9843
6.650283,94.6386
6.667,91.3064
6.683417,87.8375
6.700134,84.1244
6.716851,80.3893
6.733568,76.6977
6.750285,73.7558
6.767002,70.3887
6.783719,66.3644
6.800136,62.4487
6.816853,58.684
6.83357,55.5219
6.850287,52.2978
6.867004,48.5943
6.883721,44.8518
6.900438,41.3167
6.917155,38.0328
6.933872,34.9
6.950589,31.7086
6.967306,28.4511
6.984023,25.329
7.00074,22.5609
7.017457,20.1468
7.034174,17.9627
7.050891,16.1283
7.067608,14.753
7.084325,13.7921
7.100742,12.9591
7.117459,12.1033
7.133876,11.2142
7.150593,10.2957
7.16731,9.4341
7.184027,8.5472
7.200744,7.7705
7.217461,7.1408
7.234178,6.6283
7.250595,6.1584
7.267312,5.7611
7.283729,5.4651
7.300446,5.3529
7.317163,5.3754
7.33388,5.3996
7.350597,5.4214
7.367314,5.6018
7.384031,6.0139
7.400448,6.6436
7.417165,7.4095
7.433582,8.2597
7.450299,9.3152
7.467016,10.4163
7.483733,11.8394
7.50045,13.9585
7.517167,16.7393
7.533884,19.8587
7.550601,22.7961
7.567318,25.5606
7.584035,28.0237
7.600752,30.1739
7.617469,32.5812
7.634186,35.3437
7.650903,38.2071
7.66762,41.1068
7.684337,43.8159
7.700754,47.0809
7.717471,51.2064
7.734188,55.4877
7.750905,60.0194
7.767622,63.6288
7.784339,66.6397
7.801056,69.743
7.817773,73.8298
7.83449,78.3716
7.850907,81.9321
7.867624,85.4557
7.884041,88.4874
7.900758,92.4642
7.917475,96.7618
7.934192,100.8505
7.950909,104.7422
7.967626,108.4706
7.984343,111.8137
8.00076,115.1375
8.017477,118.8954
8.033894,122.8967
8.050611,126.4604
8.067328,129.1285
8.084045,131.5901
8.100762,134.2605
8.117479,137.0384
8.134196,139.7285
8.150613,142.5932
8.16733,145.3175
8.184047,147.5384
8.200764,148.7393
8.217481,149.2673
8.234198,149.6185
8.250915,149.9601
8.267632,150.4435
8.284349,150.864
8.300766,151.0923
8.317483,151.1858
8.3342,151.1798
8.350917,151.0508
8.367634,150.9564
8.384351,150.9077
8.401068,150.8775
8.417785,150.7886
8.434502,150.5615
8.450919,150.1969
